lakecode,lakename,Latitude_dd,loglat,Longitude_dd,Longitude_standard,loglong,log_CONT,LONG_raw,long_log_cont,Elevation_m,logelev,SurfaceArea_km2,logSA,MeanDepth_m,logMD,airtemp_trend,AT_standardized,log_AT,precip_trend,PPT_standard,log_PPT,ID_slope,posneg,ID slope p,obs,TS_cat,CONT
VSV15,LAKE B.LEPRINDO,56.4,1.751279104,117.2,256.9837772,2.409905708,2.734821973,80.57114472,2.734821973,984,2.992995098,17.3,1.238046103,18,1.255272505,-0.003690476,0.146309524,-0.834727403,-0.052444,1.947556,0.289489954,0.333333333,Positive,0.138802829,26,26-35,EAST
JJM17,LAKE NEBISH,46.05142896,1.663243111,-89.58883589,50.19494131,1.700659951,0.19978225,0.589510229,0.233373928,502.92,2.701498907,0.37,-0.431798276,5.49,0.739572344,0.007916667,0.157916667,-0.801572031,0.294445,2.294445,0.360677652,0.333333333,Positive,0.369022414,27,26-35,WEST
EK25,LAKE OULUJARVI (5932),64.33333333,1.808436054,27.33333333,167.1171105,2.223020918,-0.304157397,-9.29552195,-0.304157397,123,2.089905111,928,2.967547976,8,0.903089987,0.039010416,0.189010416,-0.723514262,0.030116842,2.030116842,0.307521034,0.333333333,Positive,0.385561317,31,26-35,EAST
WRS363,RAMSEY LAKE,46.47342183,1.667204651,-80.93212519,58.85165201,1.769758658,0.479180951,9.246220929,0.559751134,246,2.390935107,7.99,0.902546779,8.8,0.944482672,-0.011991071,0.138008929,-0.860092814,0.240596408,2.240596408,0.350363635,0.33908046,Positive,0.04241358,40,36-45,WEST
WRS308,LAKE ST CLAIR,42.49333207,1.628320787,-82.70342626,57.08035094,1.756486635,0.425515895,7.474919859,0.497062757,173,2.238046103,1161.17,3.064895807,2.9,0.462397998,0.007482954,0.157482954,-0.802766447,0.041978077,2.041978077,0.310051075,0.34057971,Positive,0.338171092,29,26-35,WEST
WRS324,LYNN LAKE,56.86666667,1.754857772,-101.0833333,38.7004439,1.587715946,-0.256903696,-10.90498718,-0.300099857,335,2.525044807,0.54,-0.26760624,3,0.477121255,0.051083332,0.201083332,-0.696623927,0.019061889,2.019061889,0.305149631,0.357142857,Positive,0.786421625,16,0,WEST
VSV31,LAKE KULUNDINSKOYE,52.97972222,1.724109677,79.57522114,219.3589983,2.341155454,1.616857244,42.94636586,1.616857244,95,1.977723605,728,2.862131379,2.8,0.447158031,0.034671717,0.184671717,-0.733599613,0.06485877,2.06485877,0.314890353,0.366071429,Positive,0.322070379,28,26-35,EAST
WRS265,ISLAND LAKE,53.84896408,1.731177353,-94.15890446,45.62487274,1.659201666,0.032146826,-3.980558341,0.037552041,225,2.352182518,964.63,2.984360764,20.1,1.303196057,-0.056493054,0.093506946,-1.029156127,-0.602685667,1.397314333,0.145294114,0.422619048,Positive,0.563813347,17,0,WEST
VSV26,LAKE TCHUKCHAGIRSKOYE,52,1.716003344,130.36,270.1437772,2.431594968,3.087516346,93.73114472,3.087516346,70,1.84509804,366,2.563481085,2,0.301029996,0.034502995,0.184502995,-0.73399658,0.113526529,2.113526529,0.325007703,0.5,Positive,0.091022388,25,0,EAST
WRS282,LAC LA RONGE,55.11384124,1.741260681,-104.9716447,34.8121325,1.541730628,-0.442844051,-14.79329858,-0.517304495,360,2.556302501,1296.47,3.112762472,12.7,1.103803721,-0.001388889,0.148611111,-0.827948719,-0.246752308,1.753247692,0.243843276,0.5,Positive,0.203001931,27,26-35,WEST
WRS312,LAKE WINNIPEGOSIS,52.37561403,1.719129127,-99.9392933,39.8444839,1.600368206,-0.205744634,-9.760947181,-0.240338836,251,2.399673721,5035.51,3.702043463,3.2,0.505149978,0.020208333,0.170208333,-0.769019182,0.617775,2.617775,0.417932316,0.5,Positive,0.474274351,10,0,WEST
PJD2,BOSHKUNG,45.05,1.653694795,-78.75,61.0337772,1.785570248,0.543114676,11.42834612,0.634434768,307.5,2.48784512,7.164,0.855155577,23.3,1.367355921,-0.036166666,0.113833334,-0.943730544,0.650494444,2.650494444,0.423326898,0.5,Positive,0.701134269,14,0,WEST
RB57,AITTOSELKA E,64.19231625,1.807483047,29.00138142,168.7851586,2.227334256,-0.234017151,-7.62747386,-0.234017151,160,2.204119983,1.5,0.176091259,8.1,0.908485019,-0.008815789,0.141184211,-0.850213869,-0.019177037,1.980822963,0.296845662,0.583333333,Positive,0.046314262,31,26-35,EAST
RB30,PETAJAVESI N,62.25,1.794139356,25.16666667,164.9504439,2.217353489,-0.396316849,-11.46218861,-0.396316849,111,2.045322979,2,0.301029996,4.21,0.624282096,-0.005701368,0.144298632,-0.840737786,0.185757403,2.185757403,0.339601958,0.6,Positive,0.066852587,37,36-45,EAST
RB50,PALOSELKA E,62.01666667,1.79250842,24.46666667,164.2504439,2.215506552,-0.426350344,-12.16218861,-0.426350344,96,1.982271233,1,0,4,0.602059991,-0.00875,0.14125,-0.850011544,0.014444444,2.014444444,0.304155295,0.666666667,Positive,0.036274982,39,36-45,EAST
VSV16,LAKE M.DARPIR,64.14373711,1.807154259,147.9854808,287.769258,2.459044397,3.533878238,111.3566255,3.533878238,819,2.913283902,4,0.602059991,31.4,1.496929648,0.069999999,0.219999999,-0.657577321,0.1275925,2.1275925,0.327888451,0.666666667,Positive,0.457349641,15,0,EAST
WRS291,LAKE EON,51.8593689,1.714827227,-63.29271332,76.49106388,1.883610701,0.939538523,26.8856328,1.097513898,557,2.745855195,3.56,0.551449998,7.3,0.86332286,0.029948717,0.179948717,-0.744851245,0.122820769,2.122820769,0.326913328,0.721153846,Positive,0.118809417,20,0,WEST
RB60,PORTIMOJARVI W,66.37136925,1.821980777,23.93137349,163.7151507,2.214088872,-0.449403586,-12.69748179,-0.449403586,63,1.799340549,3,0.477121255,3.6,0.556302501,-0.009843749,0.140156251,-0.853387528,0.376245505,2.376245505,0.375891308,0.822916667,Positive,0.164428607,24,0,EAST
WRS425,UPPER TWIN LAKE AND LOWER TWIN LAKE,50.18333333,1.700559505,-86.7,53.0837772,1.724961818,0.298046174,3.478346119,0.348160091,298,2.474216264,11,1.041392685,6,0.77815125,0.01297619,0.16297619,-0.787875839,-0.1141675,1.8858325,0.275503116,0.833333333,Positive,0.37109337,10,0,WEST
WRS286,LAKE ADJACENT TO STATION,55.33393916,1.742991588,-63.22034568,76.56343152,1.88402139,0.941199133,26.95800044,1.099453725,470,2.672097858,1.15,0.06069784,2.9,0.462397998,0.043072916,0.193072916,-0.714278644,0.917592708,2.917592708,0.465024665,1,Positive,0.461591561,13,0,WEST
WRS385,STUART LAKE,54.56183789,1.736888991,-124.590852,15.1929252,1.1816414,-1.898854838,-34.41250588,-2.218131055,678,2.831229694,357.88,2.553737429,66.4,1.822168079,0.037239582,0.187239582,-0.727602337,-0.5699075,1.4300925,0.155364129,1.266666667,Positive,0.40947829,12,0,WEST
WRS251,GRAHAM LAKE,49.25875425,1.692483424,-90.56663095,49.21714625,1.692116428,0.165236752,-0.388284831,0.1930199,484,2.684845362,1.96,0.292256071,4.2,0.62324929,-0.132499997,0.017500003,-1.756961877,-0.30889,1.69111,0.228171858,1.428571429,Positive,0.418961725,10,0,WEST
WRS262,HOURGLASS LAKE,52.12179762,1.717019386,-124.0769332,15.706844,1.19608893,-1.840436652,-33.89858708,-2.14989035,903,2.95568775,0.14,-0.853871964,3.6,0.556302501,0.031874999,0.181874999,-0.740226996,-0.374815,1.625185,0.210902805,1.5,Positive,0.158578424,11,0,WEST
PJD19,LONG POND,44.62886243,1.649615817,-76.54957869,63.23419851,1.800952018,0.605310436,13.62876743,0.707088213,178,2.250420002,0.53,-0.27572413,3.8,0.579783597,-0.033138888,0.116861112,-0.932329985,-0.275899524,1.724100476,0.236562572,1.714285714,Positive,0.221535644,13,0,WEST
WRS191,AISHIHIK LAKE,61.40847166,1.788228289,-137.1031904,2.6805868,0.428229875,-4.945253404,-46.92484428,-5.776755509,936,2.971275849,147.43,2.168585866,49.7,1.696356389,-0.000277778,0.149722222,-0.824713736,1.651357778,3.651357778,0.562454389,2,Positive,0.177967426,10,0,WEST
PJD27,SHABOMEKA,44.8937185,1.652185579,-77.13414811,62.64962909,1.796918504,0.589001034,13.04419801,0.688036525,273,2.436162647,2.56,0.408239965,10.7,1.029383778,-0.044503967,0.105496033,-0.976763871,0.146019167,2.146019167,0.331633597,2.071428571,Positive,0.149860748,12,0,WEST
