lakecode,lakename,Latitude_dd,loglat,Longitude_dd,Longitude_standard,loglong,Elevation_m,logelev,SurfaceArea_km2,logSA,MeanDepth_m,logMD,airtemp_trend,precip_trend,ID slope,ID slope p,obs,ID_var
WRS234,DIEFENBAKER LAKE,50.95254327,1.707165866,-106.9076225,32.8761547,1.516881015,551,2.741151599,391.72,2.592975746,25.2,1.401400541,-0.044772726,-0.158148333,-1,0.013966999,22,164.8333333
WRS236,EKAPO LAKE,50.32302423,1.701766733,-102.5724065,37.2113707,1.570675668,587,2.768638101,4.28,0.631443769,3.5,0.544068044,0.030573476,0.088731667,-0.280625,0.132054924,37,126.0855856
WRS237,ELDON LAKE,56.80917447,1.754418478,-101.0137042,38.770073,1.588496619,327,2.514547753,4.6,0.662757832,3.9,0.591064607,0.060416665,-0.164769167,-0.366666667,0.371437605,24,611.4710145
WRS238,ENNADAI LAKE,60.99052411,1.785262365,-101.3829192,38.400858,1.584340928,303,2.481442629,709.89,2.851191058,19.6,1.292256071,0.014175347,-0.041585911,-0.741666667,0.066010014,24,119.6231884
WRS240,FARNSWORTH LAKE,58.68908071,1.768557307,-94.05643858,45.72733862,1.660175926,13,1.113943352,3.92,0.593286067,1.4,0.146128036,0.063078702,0.261889,0.061111111,0.819715365,20,168.2
WRS243,FRAME LAKE,62.45389539,1.795559531,-114.3900686,25.3937086,1.404726132,186,2.269512944,0.9,-0.045757491,3.4,0.531478917,-0.01673344,-0.07123727,-0.0409699,0.864482558,33,134.217803
WRS247,GLENMORE RESERVOIR   ELBOW RIVER,50.98792659,1.707467352,-114.1101455,25.6736317,1.409487307,1072,3.030194785,3.15,0.498310554,6.2,0.792391689,0.100173609,-0.131926833,-1.928571429,0.24638736,13,327.2435897
WRS248,GOLDEN LAKE,45.57614346,1.658737573,-77.35970573,62.42407147,1.795352091,167,2.222716471,36.16,1.558228422,9.1,0.959041392,-0.099999998,0.2609725,0.25,0.7280732,15,92.6952381
WRS249,GOSHEN LAKE,45.37677712,1.656833647,-61.97722536,77.80655184,1.891016169,75,1.875061263,0.13,-0.886056648,2.9,0.462397998,-0.002083334,0.904666,-0.5,0.804336068,15,578.4952381
WRS250,GRACE LAKE,53.8251327,1.730985109,-101.1653297,38.6184475,1.586794811,257,2.409933123,9.34,0.970346876,2.4,0.380211242,0.011666666,0.5654625,-0.095238095,0.721491445,34,182.855615
WRS251,GRAHAM LAKE,49.25875425,1.692483424,-90.56663095,49.21714625,1.692116428,484,2.684845362,1.96,0.292256071,4.2,0.62324929,-0.132499997,-0.30889,1.428571429,0.418961725,10,177.7333333
WRS252,GRAND LAKE,46.16666667,1.664328519,-60.05,79.7337772,1.901642338,27,1.431363764,2,0.301029996,3,0.477121255,0.001973684,-0.260639697,0.142857143,0.617897409,42,528.2886179
WRS253,GREAT BEAR LAKE,65.91122797,1.818959403,-120.3774395,19.4063377,1.287943584,145,2.161368002,30450.64,4.483596425,72.2,1.858537198,-0.108906248,0.955000167,-2.5,0.023642219,12,272.6060606
WRS262,HOURGLASS LAKE,52.12179762,1.717019386,-124.0769332,15.706844,1.19608893,903,2.95568775,0.14,-0.853871964,3.6,0.556302501,0.031874999,-0.374815,1.5,0.158578424,11,104.6181818
WRS265,ISLAND LAKE,53.84896408,1.731177353,-94.15890446,45.62487274,1.659201666,225,2.352182518,964.63,2.984360764,20.1,1.303196057,-0.056493054,-0.602685667,0.422619048,0.563813347,17,135.3897059
