lake,year_ice_off,value,metric
HANKAVESI - RAUTALAMPI (1436),1958,0.60783567,ID
HANKAVESI - RAUTALAMPI (1436),1959,0.228883766,ID
HANKAVESI - RAUTALAMPI (1436),1960,0.580767677,ID
HANKAVESI - RAUTALAMPI (1436),1961,1.20333152,ID
HANKAVESI - RAUTALAMPI (1436),1962,0.526631691,ID
HANKAVESI - RAUTALAMPI (1436),1963,0.310087745,ID
HANKAVESI - RAUTALAMPI (1436),1964,0.526631691,ID
HANKAVESI - RAUTALAMPI (1436),1965,0.472495704,ID
HANKAVESI - RAUTALAMPI (1436),1966,0.959719582,ID
HANKAVESI - RAUTALAMPI (1436),1967,0.634903664,ID
HANKAVESI - RAUTALAMPI (1436),1968,0.147679786,ID
HANKAVESI - RAUTALAMPI (1436),1969,1.176263527,ID
HANKAVESI - RAUTALAMPI (1436),1970,0.553699684,ID
HANKAVESI - RAUTALAMPI (1436),1971,0.851447609,ID
HANKAVESI - RAUTALAMPI (1436),1972,0.986787575,ID
HANKAVESI - RAUTALAMPI (1436),1973,-0.258340111,ID
HANKAVESI - RAUTALAMPI (1436),1974,0.932651589,ID
HANKAVESI - RAUTALAMPI (1436),1975,-0.556088036,ID
HANKAVESI - RAUTALAMPI (1436),1976,0.634903664,ID
HANKAVESI - RAUTALAMPI (1436),1977,1.040923561,ID
HANKAVESI - RAUTALAMPI (1436),1978,0.472495704,ID
HANKAVESI - RAUTALAMPI (1436),1979,0.580767677,ID
HANKAVESI - RAUTALAMPI (1436),1980,0.066475807,ID
HANKAVESI - RAUTALAMPI (1436),1981,1.040923561,ID
HANKAVESI - RAUTALAMPI (1436),1982,0.255951759,ID
HANKAVESI - RAUTALAMPI (1436),1983,-0.041796166,ID
HANKAVESI - RAUTALAMPI (1436),1984,0.526631691,ID
HANKAVESI - RAUTALAMPI (1436),1985,0.68903965,ID
HANKAVESI - RAUTALAMPI (1436),1986,0.310087745,ID
HANKAVESI - RAUTALAMPI (1436),1987,0.337155739,ID
HANKAVESI - RAUTALAMPI (1436),1988,0.824379616,ID
HANKAVESI - RAUTALAMPI (1436),1989,0.770243629,ID
HANKAVESI - RAUTALAMPI (1436),1990,0.039407814,ID
HANKAVESI - RAUTALAMPI (1436),1991,0.824379616,ID
HANKAVESI - RAUTALAMPI (1436),1992,0.201815773,ID
HANKAVESI - RAUTALAMPI (1436),1993,0.986787575,ID
HANKAVESI - RAUTALAMPI (1436),1994,0.743175636,ID
HANKAVESI - RAUTALAMPI (1436),1995,0.932651589,ID
HANKAVESI - RAUTALAMPI (1436),1996,0.797311623,ID
HANKAVESI - RAUTALAMPI (1436),1997,0.147679786,ID
HANKAVESI - RAUTALAMPI (1436),1998,0.472495704,ID
HANKAVESI - RAUTALAMPI (1436),1999,0.499563698,ID
HANKAVESI - RAUTALAMPI (1436),2000,0.418359718,ID
LAKE NASIJARVI (3568),1950,-0.826767968,ID
LAKE NASIJARVI (3568),1951,-0.718495995,ID
LAKE NASIJARVI (3568),1952,-1.205719873,ID
LAKE NASIJARVI (3568),1953,-0.095932152,ID
LAKE NASIJARVI (3568),1954,-0.529020043,ID
LAKE NASIJARVI (3568),1955,-0.204204125,ID
LAKE NASIJARVI (3568),1956,0.337155739,ID
LAKE NASIJARVI (3568),1957,0.553699684,ID
LAKE NASIJARVI (3568),1958,0.17474778,ID
LAKE NASIJARVI (3568),1959,-0.447816064,ID
LAKE NASIJARVI (3568),1960,0.039407814,ID
LAKE NASIJARVI (3568),1961,-0.095932152,ID
LAKE NASIJARVI (3568),1962,-0.474884057,ID
LAKE NASIJARVI (3568),1963,-0.068864159,ID
LAKE NASIJARVI (3568),1964,0.120611793,ID
LAKE NASIJARVI (3568),1965,-0.014728173,ID
LAKE NASIJARVI (3568),1966,0.066475807,ID
LAKE NASIJARVI (3568),1967,-0.231272118,ID
LAKE NASIJARVI (3568),1968,-0.312476098,ID
LAKE NASIJARVI (3568),1969,0.824379616,ID
LAKE NASIJARVI (3568),1970,0.201815773,ID
LAKE NASIJARVI (3568),1971,-0.366612084,ID
LAKE NASIJARVI (3568),1972,0.147679786,ID
LAKE NASIJARVI (3568),1973,-1.070379907,ID
LAKE NASIJARVI (3568),1974,0.526631691,ID
LAKE NASIJARVI (3568),1975,-0.989175927,ID
LAKE NASIJARVI (3568),1976,-0.014728173,ID
LAKE NASIJARVI (3568),1977,-0.231272118,ID
LAKE NASIJARVI (3568),1978,-0.150068139,ID
LAKE NASIJARVI (3568),1979,0.228883766,ID
LAKE NASIJARVI (3568),1980,-0.150068139,ID
LAKE NASIJARVI (3568),1981,0.60783567,ID
LAKE NASIJARVI (3568),1982,-0.231272118,ID
LAKE NASIJARVI (3568),1983,-1.232787866,ID
LAKE NASIJARVI (3568),1984,0.120611793,ID
LAKE NASIJARVI (3568),1985,-0.231272118,ID
LAKE NASIJARVI (3568),1986,0.0935438,ID
LAKE NASIJARVI (3568),1987,-0.177136132,ID
LAKE NASIJARVI (3568),1988,0.120611793,ID
LAKE NASIJARVI (3568),1989,-0.312476098,ID
LAKE NASIJARVI (3568),1990,-0.610224023,ID
LAKE NASIJARVI (3568),1991,-0.745563989,ID
LAKE NASIJARVI (3568),1992,-1.043311914,ID
LAKE NASIJARVI (3568),1993,0.283019752,ID
LAKE NASIJARVI (3568),1994,-0.095932152,ID
LAKE NASIJARVI (3568),1995,-0.853835961,ID
LAKE NASIJARVI (3568),1996,0.228883766,ID
LAKE NASIJARVI (3568),1997,-0.285408105,ID
LAKE NASIJARVI (3568),1998,-0.366612084,ID
LAKE NASIJARVI (3568),1999,-0.42074807,ID
LAKE NASIJARVI (3568),2000,-0.772631982,ID
PAAJARVI - KARSTULA (1415),1950,0.120611793,ID
PAAJARVI - KARSTULA (1415),1951,0.797311623,ID
PAAJARVI - KARSTULA (1415),1952,0.60783567,ID
PAAJARVI - KARSTULA (1415),1953,0.959719582,ID
PAAJARVI - KARSTULA (1415),1954,0.68903965,ID
PAAJARVI - KARSTULA (1415),1955,1.067991554,ID
PAAJARVI - KARSTULA (1415),1956,0.797311623,ID
PAAJARVI - KARSTULA (1415),1957,1.311603493,ID
PAAJARVI - KARSTULA (1415),1958,0.770243629,ID
PAAJARVI - KARSTULA (1415),1959,-0.312476098,ID
PAAJARVI - KARSTULA (1415),1960,0.68903965,ID
PAAJARVI - KARSTULA (1415),1961,1.013855568,ID
PAAJARVI - KARSTULA (1415),1962,0.499563698,ID
PAAJARVI - KARSTULA (1415),1963,0.553699684,ID
PAAJARVI - KARSTULA (1415),1964,0.824379616,ID
PAAJARVI - KARSTULA (1415),1965,0.797311623,ID
PAAJARVI - KARSTULA (1415),1966,0.905583595,ID
PAAJARVI - KARSTULA (1415),1967,0.716107643,ID
PAAJARVI - KARSTULA (1415),1968,0.0935438,ID
PAAJARVI - KARSTULA (1415),1969,1.338671486,ID
PAAJARVI - KARSTULA (1415),1970,1.122127541,ID
PAAJARVI - KARSTULA (1415),1971,1.149195534,ID
PAAJARVI - KARSTULA (1415),1972,1.040923561,ID
PAAJARVI - KARSTULA (1415),1973,-0.231272118,ID
PAAJARVI - KARSTULA (1415),1974,0.932651589,ID
PAAJARVI - KARSTULA (1415),1975,0.634903664,ID
PAAJARVI - KARSTULA (1415),1976,0.661971657,ID
PAAJARVI - KARSTULA (1415),1977,1.392807473,ID
PAAJARVI - KARSTULA (1415),1978,0.580767677,ID
PAAJARVI - KARSTULA (1415),1979,0.824379616,ID
PAAJARVI - KARSTULA (1415),1980,0.0935438,ID
PAAJARVI - KARSTULA (1415),1981,1.338671486,ID
PAAJARVI - KARSTULA (1415),1982,0.283019752,ID
PAAJARVI - KARSTULA (1415),1983,-0.068864159,ID
PAAJARVI - KARSTULA (1415),1984,0.60783567,ID
PAAJARVI - KARSTULA (1415),1985,0.770243629,ID
PAAJARVI - KARSTULA (1415),1986,0.661971657,ID
PAAJARVI - KARSTULA (1415),1987,0.310087745,ID
PAAJARVI - KARSTULA (1415),1988,0.878515602,ID
PAAJARVI - KARSTULA (1415),1989,0.797311623,ID
PAAJARVI - KARSTULA (1415),1990,0.120611793,ID
PAAJARVI - KARSTULA (1415),1991,0.716107643,ID
PAAJARVI - KARSTULA (1415),1992,0.147679786,ID
PAAJARVI - KARSTULA (1415),1993,1.2845355,ID
PAAJARVI - KARSTULA (1415),1994,0.878515602,ID
PAAJARVI - KARSTULA (1415),1995,1.067991554,ID
PAAJARVI - KARSTULA (1415),1996,0.959719582,ID
PAAJARVI - KARSTULA (1415),1997,0.17474778,ID
PAAJARVI - KARSTULA (1415),1998,1.040923561,ID
PAAJARVI - KARSTULA (1415),1999,0.634903664,ID
PAAJARVI - KARSTULA (1415),2000,0.445427711,ID
BIG GREEN LAKE,1950,-1.61173977,ID
BIG GREEN LAKE,1951,-0.907971948,ID
BIG GREEN LAKE,1952,-1.151583886,ID
BIG GREEN LAKE,1953,-2.017759668,ID
BIG GREEN LAKE,1954,-1.747079736,ID
BIG GREEN LAKE,1955,-1.828283716,ID
BIG GREEN LAKE,1956,-0.880903955,ID
BIG GREEN LAKE,1957,-3.966655177,ID
BIG GREEN LAKE,1958,-1.584671777,ID
BIG GREEN LAKE,1959,-0.853835961,ID
BIG GREEN LAKE,1960,-1.855351709,ID
BIG GREEN LAKE,1961,-1.232787866,ID
BIG GREEN LAKE,1962,-1.341059839,ID
BIG GREEN LAKE,1963,-1.503467798,ID
BIG GREEN LAKE,1964,-2.017759668,ID
BIG GREEN LAKE,1965,-1.368127832,ID
BIG GREEN LAKE,1966,-2.261371607,ID
BIG GREEN LAKE,1967,-2.369643579,ID
BIG GREEN LAKE,1968,-2.071895654,ID
BIG GREEN LAKE,1969,-1.69294375,ID
BIG GREEN LAKE,1970,-1.368127832,ID
BIG GREEN LAKE,1971,-1.205719873,ID
BIG GREEN LAKE,1972,-1.341059839,ID
BIG GREEN LAKE,1973,-1.17865188,ID
BIG GREEN LAKE,1974,-1.936555689,ID
BIG GREEN LAKE,1975,-2.153099634,ID
BIG GREEN LAKE,1976,-0.962107934,ID
BIG GREEN LAKE,1977,-1.665875757,ID
BIG GREEN LAKE,1978,-1.503467798,ID
BIG GREEN LAKE,1979,-1.17865188,ID
BIG GREEN LAKE,1980,-2.017759668,ID
BIG GREEN LAKE,1981,-1.936555689,ID
BIG GREEN LAKE,1982,-2.044827661,ID
BIG GREEN LAKE,1983,-2.748595484,ID
BIG GREEN LAKE,1984,-0.962107934,ID
BIG GREEN LAKE,1985,-2.044827661,ID
BIG GREEN LAKE,1986,-1.259855859,ID
BIG GREEN LAKE,1987,-2.044827661,ID
BIG GREEN LAKE,1988,-1.638807764,ID
BIG GREEN LAKE,1989,-3.181683375,ID
BIG GREEN LAKE,1990,-1.69294375,ID
BIG GREEN LAKE,1991,-1.882419702,ID
BIG GREEN LAKE,1992,-1.936555689,ID
BIG GREEN LAKE,1993,-1.422263818,ID
BIG GREEN LAKE,1994,-1.61173977,ID
BIG GREEN LAKE,1995,-2.396711573,ID
BIG GREEN LAKE,1996,-0.58315603,ID
BIG GREEN LAKE,1997,-1.368127832,ID
BIG GREEN LAKE,1998,-3.966655177,ID
BIG GREEN LAKE,1999,-2.017759668,ID
BIG GREEN LAKE,2000,-2.586187525,ID
LAKE PAIJANNE (1463),1950,-0.826767968,ID
LAKE PAIJANNE (1463),1951,0.01233982,ID
LAKE PAIJANNE (1463),1952,-0.312476098,ID
LAKE PAIJANNE (1463),1953,0.01233982,ID
LAKE PAIJANNE (1463),1954,-0.474884057,ID
LAKE PAIJANNE (1463),1955,-0.312476098,ID
LAKE PAIJANNE (1463),1956,0.391291725,ID
